attachmentId,internalType,currentDisplayName,verifiedExactName,verificationStatus,rule,evidence,provenance,pointCosts,compatibleWeaponCount,conflictingSourceNames,sharedDisplayName,notes
vssm_suppressed_asm,barrel,Suppressed,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,20,1,,true,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
ads_bolt,ergo,DLC Bolt,DLC Bolt,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,30,4,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
buffer,ergo,Aftermarket Buffer,Aftermarket Buffer,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,5,28,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
burst_mode,ergo,Burst Mode,Burst Mode,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,1,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
burst_training,ergo,Burst Training,Burst Training,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,6,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
fast_deploy,ergo,Speed Holster,Speed Holster,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,5,5,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
fast_deploy_10,ergo,Gunslinger,Gunslinger,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,1,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
full_auto,ergo,A3 Receiver,A3 Receiver,SOURCE_CORROBORATED,corroborated-verbatim-source,corroborated,upstream-dataset | class-audit:assault-audit,25,1,,,"Independently corroborated by class-audit:assault-audit. | No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
full_auto_vssm,ergo,Folding Stock,Folding Stock,SOURCE_CORROBORATED,corroborated-verbatim-source,corroborated,upstream-dataset | class-audit:dmr-audit,40,1,,,"Independently corroborated by class-audit:dmr-audit. | No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
grtbc_burst_mode,ergo,Burst Training,Burst Training,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
mag_catch,ergo,Improved Mag Catch,Improved Mag Catch,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,5,27,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
mag_flare,ergo,Magwell Flare,Magwell Flare,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,12,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
match_trigger,ergo,Match Trigger,Match Trigger,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,26,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
none,ergo,None,,INTERNAL_PLACEHOLDER,empty-slot-state,single-source,upstream-dataset,0,2,,true,"UI empty-slot state, not a Battlefield 6 attachment."
rail_cover,ergo,Rail Cover,Rail Cover,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,5,11,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
6h64_vert,grip,6H64 Vertical,6H64 Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,46,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
6h64_vert_db12,grip,6H64 Vertical,6H64 Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
6h64_vert_ks18k,grip,6H64 Vertical,6H64 Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
6h64_vert_svk86,grip,6H64 Vertical,6H64 Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
6h64_vert_vssm,grip,6H64 Vertical,6H64 Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,0,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
adj_angled,grip,Adjustable Angled,Adjustable Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,23,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
alloy_vert,grip,Alloy Vertical,Alloy Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,49,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
bipod,grip,Bipod,Bipod,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,28,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
bipod_sr,grip,Bipod,Bipod,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,7,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
canted_stubby,grip,Canted Stubby,Canted Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,30,49,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
classic_grip_pod,grip,Classic Grip Pod,Classic Grip Pod,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,30,32,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
classic_grip_pod_sr,grip,Classic Grip Pod,Classic Grip Pod,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,5,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
classic_vert,grip,Classic Vertical,Classic Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,46,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
classic_vert_db12,grip,Classic Vertical,Classic Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
classic_vert_ks18k,grip,Classic Vertical,Classic Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
classic_vert_svk86,grip,Classic Vertical,Classic Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
classic_vert_vssm,grip,Classic Vertical,Classic Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,0,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
cmpct_handstop,grip,Compact Handstop,Compact Handstop,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,11,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
factory_angled_db12,grip,Factory Angled,Factory Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
factory_angled_lmr27,grip,Factory Angled,Factory Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
factory_angled_sl9,grip,Factory Angled,Factory Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
fold_stubby,grip,Folding Stubby,Folding Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,49,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
fold_vert,grip,Folding Vertical,Folding Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,49,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
full_angled,grip,Full Angled,Full Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,37,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
full_angled_sr,grip,Full Angled,Full Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,5,5,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
lp_stubby,grip,Low-Profile Stubby,Low-Profile Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,45,46,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
lp_stubby_db12,grip,Low-Profile Stubby,Low-Profile Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,45,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
lp_stubby_ks18k,grip,Low-Profile Stubby,Low-Profile Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,45,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
lp_stubby_sr,grip,Low-Profile Stubby,Low-Profile Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,5,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
lp_stubby_svk86,grip,Low-Profile Stubby,Low-Profile Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,45,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
lp_stubby_vssm,grip,Low-Profile Stubby,Low-Profile Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,45,0,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
none,grip,None,,INTERNAL_PLACEHOLDER,empty-slot-state,single-source,upstream-dataset,0,2,,true,"UI empty-slot state, not a Battlefield 6 attachment."
ptt_grip_pod,grip,PTT Grip Pod,PTT Grip Pod,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,32,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
qd_grip_pod,grip,QD Grip Pod,QD Grip Pod,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,30,32,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
qd_grip_pod_sr,grip,QD Grip Pod,QD Grip Pod,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,5,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
ribbed_stubby,grip,Ribbed Stubby,Ribbed Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,30,49,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
ribbed_vert,grip,Ribbed Vertical,Ribbed Vertical,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,49,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
slim_angled,grip,Slim Angled,Slim Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,25,35,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
slim_angled_smg,grip,Slim Angled,Slim Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,8,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
slim_angled_sr,grip,Slim Angled,Slim Angled,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,5,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
slim_handstop,grip,Slim Handstop,Slim Handstop,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,37,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
stipp_stubby,grip,Stippled Stubby,Stippled Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,46,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
stipp_stubby_db12,grip,Stippled Stubby,Stippled Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
stipp_stubby_ks18k,grip,Stippled Stubby,Stippled Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
stipp_stubby_svk86,grip,Stippled Stubby,Stippled Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,1,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
stipp_stubby_vssm,grip,Stippled Stubby,Stippled Stubby,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,35,0,,true,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
underslung_mount,grip,Underslung Mount,Underslung Mount,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,9,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
120mw_blue,laser,120 MW Blue,120 MW Blue,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,30,55,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
50mw_blue,laser,50 MW Blue,50 MW Blue,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,55,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
50mw_green,laser,50 MW Green,50 MW Green,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,61,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
50mw_violet,laser,50 MW Violet,50 MW Violet,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,55,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
5mw_green,laser,5 MW Green,5 MW Green,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,61,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
5mw_red,laser,5 MW Red,5 MW Red,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,61,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
combo_green,laser,Combo Green,Combo Green,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,10,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
combo_red,laser,Combo Red,Combo Red,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,9,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
none,laser,None,,INTERNAL_PLACEHOLDER,empty-slot-state,single-source,upstream-dataset,0,2,,true,"UI empty-slot state, not a Battlefield 6 attachment."
ads_taclight,light,Taclight - Aimed,Taclight - Aimed,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,5,61,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
flashlight,light,Flashlight,Flashlight,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,10,61,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
hip_taclight,light,Taclight - Hipfire,Taclight - Hipfire,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,55,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
none,light,None,,INTERNAL_PLACEHOLDER,empty-slot-state,single-source,upstream-dataset,0,2,,true,"UI empty-slot state, not a Battlefield 6 attachment."
range_finder,light,Range Finder,Range Finder,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,15,10,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
10_fast,mag,10 Fast,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,5 | 10,6,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
10_rnd,mag,10 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,5,9,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
100_rnd,mag,100 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,5 | 25 | 45 | 55,7,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
11_rnd,mag,11 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,25,1,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
15_fast,mag,15 Fast,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,10 | 25 | 35,5,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
15_rnd,mag,15 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,5 | 20 | 30,9,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
17_fast,mag,17 Fast,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,10,1,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
17_rnd,mag,17 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,5,2,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
20_fast,mag,20 Fast,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,5 | 10 | 50 | 60,22,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
20_rnd,mag,20 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,5 | 20 | 40 | 45 | 55,27,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
200_rnd,mag,200 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,50,2,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
21_rnd,mag,21 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,15,1,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
22_rnd,mag,22 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,30,1,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
23_rnd,mag,23 Rnd,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,25,1,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label. | Independent Battlefield 6 guides refer to magazines in the form ""30-Rnd Magazine"". The source string omits the ""Magazine"" noun and the hyphen, so it reads as an abbreviated internal label rather than the full in-game name. No replacement name is asserted from a secondary source."
