weaponId,weapon,cls,field,value,status,confidence,sourceType,source,reDerivedBy,snapshotVersion,stale,lastVerified,affects,why
"b36a4","B36A4","Assault Rifle","bulletVel",740,"VERIFIED","verified-exact","verified ballistics list","data/ballistics.json verified list","ballistic TTK audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|attachmentWinner","projectile flight time is added to trigger-to-kill, and barrel/ammo velocity modifiers are scored against it"
"b36a4","B36A4","Assault Rifle","mag",31,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","initial trigger-to-kill never spans a reload; magazine size does not enter BTK or TTK"
"b36a4","B36A4","Assault Rifle","tacRld",2.384,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"b36a4","B36A4","Assault Rifle","emptyRld",2.95,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"b36a4","B36A4","Assault Rifle","recoilV",0.7264767922329352,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index, which is 45% of the BALANCED ranking"
"b36a4","B36A4","Assault Rifle","recoilVar",28,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"b36a4","B36A4","Assault Rifle","spreadMax",7,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"b36a4","B36A4","Assault Rifle","adsTime",250,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner","ranking tie-break only"
"b36a4","B36A4","Assault Rifle","fireMode","auto","HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|redsecArmour","selects burst/auto cadence, and gates the REDSEC close-range armour rule which applies only to auto"
"b36a4","B36A4","Assault Rifle","ammoProfile","6 options, default standard","HIGH_CONFIDENCE","snapshot; point costs pinned, per-ammo damage transforms not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|attachmentWinner","ammo can change per-shot damage and velocity, so it changes the winning build"
"sor556","SOR-556 MK2","Assault Rifle","dmg","5 tiers, 26.05 max","VERIFIED","verified","pinned game-file snapshot","Sym.gg 1.3.3.0 game-file curve (retrieved 2026-07-25); stepped tiers, provisional pending in-game confirmation","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|weaponWinner|attachmentWinner","damage at distance sets BTK directly, and BTK drives TTK, ranking and which ammo/barrel wins"
"sor556","SOR-556 MK2","Assault Rifle","rpm",568.421,"VERIFIED","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner","shot interval is (btk-1)*60000/rpm; BTK itself is unaffected"
"sor556","SOR-556 MK2","Assault Rifle","bulletVel",768,"VERIFIED","verified-exact","verified ballistics list","data/ballistics.json verified list","ballistic TTK audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|attachmentWinner","projectile flight time is added to trigger-to-kill, and barrel/ammo velocity modifiers are scored against it"
"sor556","SOR-556 MK2","Assault Rifle","mag",31,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","initial trigger-to-kill never spans a reload; magazine size does not enter BTK or TTK"
"sor556","SOR-556 MK2","Assault Rifle","tacRld",2.384,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"sor556","SOR-556 MK2","Assault Rifle","emptyRld",2.667,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"sor556","SOR-556 MK2","Assault Rifle","recoilV",0.6232874910249844,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index, which is 45% of the BALANCED ranking"
"sor556","SOR-556 MK2","Assault Rifle","recoilVar",12.7,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"sor556","SOR-556 MK2","Assault Rifle","spreadMax",7,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"sor556","SOR-556 MK2","Assault Rifle","adsTime",260,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner","ranking tie-break only"
"sor556","SOR-556 MK2","Assault Rifle","fireMode","auto","HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|redsecArmour","selects burst/auto cadence, and gates the REDSEC close-range armour rule which applies only to auto"
"sor556","SOR-556 MK2","Assault Rifle","ammoProfile","6 options, default standard","HIGH_CONFIDENCE","snapshot; point costs pinned, per-ammo damage transforms not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|attachmentWinner","ammo can change per-shot damage and velocity, so it changes the winning build"
"ak4d","AK4D","Assault Rifle","dmg","5 tiers, 35.22 max","VERIFIED","verified","pinned game-file snapshot","Sym.gg 1.3.3.0 game-file curve (retrieved 2026-07-25); stepped tiers, provisional pending in-game confirmation","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|weaponWinner|attachmentWinner","damage at distance sets BTK directly, and BTK drives TTK, ranking and which ammo/barrel wins"
"ak4d","AK4D","Assault Rifle","rpm",514.285,"VERIFIED","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner","shot interval is (btk-1)*60000/rpm; BTK itself is unaffected"
"ak4d","AK4D","Assault Rifle","bulletVel",680,"VERIFIED","verified-exact","verified ballistics list","data/ballistics.json verified list","ballistic TTK audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|attachmentWinner","projectile flight time is added to trigger-to-kill, and barrel/ammo velocity modifiers are scored against it"
"ak4d","AK4D","Assault Rifle","mag",21,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","initial trigger-to-kill never spans a reload; magazine size does not enter BTK or TTK"
"ak4d","AK4D","Assault Rifle","tacRld",2.467,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"ak4d","AK4D","Assault Rifle","emptyRld",3.3,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"ak4d","AK4D","Assault Rifle","recoilV",0.852210725925926,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index, which is 45% of the BALANCED ranking"
"ak4d","AK4D","Assault Rifle","recoilVar",20,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"ak4d","AK4D","Assault Rifle","spreadMax",7,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"ak4d","AK4D","Assault Rifle","adsTime",270,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner","ranking tie-break only"
"ak4d","AK4D","Assault Rifle","fireMode","auto","HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|redsecArmour","selects burst/auto cadence, and gates the REDSEC close-range armour rule which applies only to auto"
"ak4d","AK4D","Assault Rifle","ammoProfile","5 options, default standard","HIGH_CONFIDENCE","snapshot; point costs pinned, per-ammo damage transforms not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|attachmentWinner","ammo can change per-shot damage and velocity, so it changes the winning build"
"tr7","TR7","Assault Rifle","dmg","5 tiers, 35.22 max","VERIFIED","verified","pinned game-file snapshot","Sym.gg 1.3.3.0 game-file curve (retrieved 2026-07-25); stepped tiers, provisional pending in-game confirmation","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|weaponWinner|attachmentWinner","damage at distance sets BTK directly, and BTK drives TTK, ranking and which ammo/barrel wins"
"tr7","TR7","Assault Rifle","rpm",719.999,"VERIFIED","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner","shot interval is (btk-1)*60000/rpm; BTK itself is unaffected"
"tr7","TR7","Assault Rifle","bulletVel",604,"VERIFIED","verified-exact","verified ballistics list","data/ballistics.json verified list","ballistic TTK audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|attachmentWinner","projectile flight time is added to trigger-to-kill, and barrel/ammo velocity modifiers are scored against it"
"tr7","TR7","Assault Rifle","mag",21,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","initial trigger-to-kill never spans a reload; magazine size does not enter BTK or TTK"
"tr7","TR7","Assault Rifle","tacRld",2.4,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"tr7","TR7","Assault Rifle","emptyRld",3.37,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"tr7","TR7","Assault Rifle","recoilV",1.1595971107513876,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index, which is 45% of the BALANCED ranking"
"tr7","TR7","Assault Rifle","recoilVar",40.8,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"tr7","TR7","Assault Rifle","spreadMax",7,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"tr7","TR7","Assault Rifle","adsTime",255,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner","ranking tie-break only"
"tr7","TR7","Assault Rifle","fireMode","auto","HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|redsecArmour","selects burst/auto cadence, and gates the REDSEC close-range armour rule which applies only to auto"
"tr7","TR7","Assault Rifle","ammoProfile","5 options, default standard","HIGH_CONFIDENCE","snapshot; point costs pinned, per-ammo damage transforms not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|attachmentWinner","ammo can change per-shot damage and velocity, so it changes the winning build"
"kord6p67","KORD 6P67","Assault Rifle","dmg","5 tiers, 20.67 max","VERIFIED","verified","pinned game-file snapshot","Sym.gg 1.3.3.0 game-file curve (retrieved 2026-07-25); stepped tiers, provisional pending in-game confirmation","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|weaponWinner|attachmentWinner","damage at distance sets BTK directly, and BTK drives TTK, ranking and which ammo/barrel wins"
"kord6p67","KORD 6P67","Assault Rifle","rpm",899.999,"VERIFIED","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner","shot interval is (btk-1)*60000/rpm; BTK itself is unaffected"
"kord6p67","KORD 6P67","Assault Rifle","bulletVel",724,"VERIFIED","verified-exact","verified ballistics list","data/ballistics.json verified list","ballistic TTK audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|attachmentWinner","projectile flight time is added to trigger-to-kill, and barrel/ammo velocity modifiers are scored against it"
"kord6p67","KORD 6P67","Assault Rifle","mag",31,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","initial trigger-to-kill never spans a reload; magazine size does not enter BTK or TTK"
"kord6p67","KORD 6P67","Assault Rifle","tacRld",2.45,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"kord6p67","KORD 6P67","Assault Rifle","emptyRld",3.017,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"kord6p67","KORD 6P67","Assault Rifle","recoilV",0.5410650819182649,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index, which is 45% of the BALANCED ranking"
"kord6p67","KORD 6P67","Assault Rifle","recoilVar",28.9,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"kord6p67","KORD 6P67","Assault Rifle","spreadMax",7,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"kord6p67","KORD 6P67","Assault Rifle","adsTime",240,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner","ranking tie-break only"
"kord6p67","KORD 6P67","Assault Rifle","fireMode","auto","HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|redsecArmour","selects burst/auto cadence, and gates the REDSEC close-range armour rule which applies only to auto"
"kord6p67","KORD 6P67","Assault Rifle","ammoProfile","5 options, default standard","HIGH_CONFIDENCE","snapshot; point costs pinned, per-ammo damage transforms not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|attachmentWinner","ammo can change per-shot damage and velocity, so it changes the winning build"
"nvo228e","NVO-228E","Assault Rifle","dmg","9 tiers, 35.22 max","VERIFIED","verified","pinned game-file snapshot","Sym.gg 1.3.3.0 game-file curve (retrieved 2026-07-25); stepped tiers, provisional pending in-game confirmation","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|weaponWinner|attachmentWinner","damage at distance sets BTK directly, and BTK drives TTK, ranking and which ammo/barrel wins"
"nvo228e","NVO-228E","Assault Rifle","rpm",654.545,"VERIFIED","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner","shot interval is (btk-1)*60000/rpm; BTK itself is unaffected"
"nvo228e","NVO-228E","Assault Rifle","bulletVel",626,"VERIFIED","verified-exact","verified ballistics list","data/ballistics.json verified list","ballistic TTK audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|attachmentWinner","projectile flight time is added to trigger-to-kill, and barrel/ammo velocity modifiers are scored against it"
"nvo228e","NVO-228E","Assault Rifle","mag",31,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","initial trigger-to-kill never spans a reload; magazine size does not enter BTK or TTK"
"nvo228e","NVO-228E","Assault Rifle","tacRld",2.5,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"nvo228e","NVO-228E","Assault Rifle","emptyRld",2.979,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"nvo228e","NVO-228E","Assault Rifle","recoilV",0.7326801731267338,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index, which is 45% of the BALANCED ranking"
"nvo228e","NVO-228E","Assault Rifle","recoilVar",28.9,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"nvo228e","NVO-228E","Assault Rifle","spreadMax",7,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner|attachmentWinner","feeds Beam Index"
"nvo228e","NVO-228E","Assault Rifle","adsTime",260,"HIGH_CONFIDENCE","snapshot; not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","weaponWinner","ranking tie-break only"
"nvo228e","NVO-228E","Assault Rifle","fireMode","auto","HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|redsecArmour","selects burst/auto cadence, and gates the REDSEC close-range armour rule which applies only to auto"
"nvo228e","NVO-228E","Assault Rifle","ammoProfile","5 options, default standard","HIGH_CONFIDENCE","snapshot; point costs pinned, per-ammo damage transforms not independently re-derived","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|attachmentWinner","ammo can change per-shot damage and velocity, so it changes the winning build"
"l85a3","L85A3","Assault Rifle","dmg","5 tiers, 26.05 max","VERIFIED","verified","pinned game-file snapshot","Sym.gg 1.3.3.0 game-file curve (retrieved 2026-07-25); stepped tiers, provisional pending in-game confirmation","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","BTK|TTK|weaponWinner|attachmentWinner","damage at distance sets BTK directly, and BTK drives TTK, ranking and which ammo/barrel wins"
"l85a3","L85A3","Assault Rifle","rpm",635.294,"VERIFIED","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","Assault Rifle class audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner","shot interval is (btk-1)*60000/rpm; BTK itself is unaffected"
"l85a3","L85A3","Assault Rifle","bulletVel",778,"VERIFIED","verified-exact","verified ballistics list","data/ballistics.json verified list","ballistic TTK audit","1.3.3.0",true,"2026-09-03T10:59:01.034Z","TTK|weaponWinner|attachmentWinner","projectile flight time is added to trigger-to-kill, and barrel/ammo velocity modifiers are scored against it"
"l85a3","L85A3","Assault Rifle","mag",31,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","initial trigger-to-kill never spans a reload; magazine size does not enter BTK or TTK"
"l85a3","L85A3","Assault Rifle","tacRld",2.767,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
"l85a3","L85A3","Assault Rifle","emptyRld",2.733,"HIGH_CONFIDENCE","snapshot","pinned upstream snapshot","raymdl/BF6-Weapon-Analyzer","","1.3.3.0",true,"2026-09-03T10:59:01.034Z","","reload time is displayed, not used in initial TTK"
