attachmentId,internalType,currentDisplayName,status,appearancesInRecommendedBuilds,compatibleWeaponCount,captureOn,requiresTierAmbiguityAck,note
"4_rnd","mag","4 Rnd","UNVERIFIED",26,2,"m1014|185ksk",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"ads_bolt","ergo","DLC Bolt","SOURCE_CORROBORATED",21,4,"sv98|m2010esr|l115",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"slugs","ammo","Slugs","SOURCE_CORROBORATED",21,4,"m1014|185ksk",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"30_fast","mag","30 Fast","UNVERIFIED",20,25,"ak205|pw7a2|rpkm",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"lp_stubby_sr","grip","Low-Profile Stubby","SOURCE_CORROBORATED",20,5,"miniscout|m2010esr",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"full_auto_vssm","ergo","Folding Stock","SOURCE_CORROBORATED",19,1,"vssm",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"vssm_suppressed_asm","barrel","Suppressed","INTERNAL_PLACEHOLDER",19,1,"vssm",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"15_fast","mag","15 Fast","UNVERIFIED",18,5,"miniscout",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"4_fast","mag","4 Fast","UNVERIFIED",18,2,"185ksk",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"tp_brake","muzzle","Triple-Port Brake","SOURCE_CORROBORATED",17,3,"185ksk",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"cryo","barrel","Cryogenic","SOURCE_CORROBORATED",16,19,"nvo228e|m417a2|pw7a2",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"classic_vert_ks18k","grip","Classic Vertical","SOURCE_CORROBORATED",16,1,"185ksk",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"100_rnd","mag","100 Rnd","UNVERIFIED",15,7,"m123k|l110",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"6h64_vert_ks18k","grip","6H64 Vertical","SOURCE_CORROBORATED",15,1,"185ksk",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"5_fast","mag","5 Fast","UNVERIFIED",14,2,"m2010esr",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"6h64_vert","grip","6H64 Vertical","SOURCE_CORROBORATED",12,46,"vssm",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"10_fast","mag","10 Fast","UNVERIFIED",11,6,"miniscout|vssm|lmr27",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"17_fast","mag","17 Fast","UNVERIFIED",10,1,"kv9",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"5_rnd","mag","5 Rnd","UNVERIFIED",8,4,"m87a1|m2010esr|l115",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"20_rnd","mag","20 Rnd","UNVERIFIED",7,27,"scw10|miniscout",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"slant_brake","muzzle","Slant Brake","SOURCE_CORROBORATED",7,2,"rpkm|rpk74m",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"fold_vert","grip","Folding Vertical","SOURCE_CORROBORATED",6,49,"vssm",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"50_fast","mag","50 Fast","UNVERIFIED",6,1,"m121a2",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"long_range","ammo","Long-Range","SOURCE_CORROBORATED",5,8,"vssm",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"23_rnd","mag","23 Rnd","UNVERIFIED",5,1,"kv9",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"thread_prot","muzzle","Thread Protector","SOURCE_CORROBORATED",4,1,"sv98",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"17_rnd","mag","17 Rnd","UNVERIFIED",2,2,"kv9",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"lp_stubby_ks18k","grip","Low-Profile Stubby","SOURCE_CORROBORATED",2,1,"185ksk",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"50mw_green","laser","50 MW Green","SOURCE_CORROBORATED",0,61,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"5mw_green","laser","5 MW Green","SOURCE_CORROBORATED",0,61,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"5mw_red","laser","5 MW Red","SOURCE_CORROBORATED",0,61,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"ads_taclight","light","Taclight - Aimed","SOURCE_CORROBORATED",0,61,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"flashlight","light","Flashlight","SOURCE_CORROBORATED",0,61,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"cqb_supp","muzzle","CQB Suppressor","SOURCE_CORROBORATED",0,57,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"frangible","ammo","Frangible","SOURCE_CORROBORATED",0,57,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"120mw_blue","laser","120 MW Blue","SOURCE_CORROBORATED",0,55,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"50mw_blue","laser","50 MW Blue","SOURCE_CORROBORATED",0,55,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"hip_taclight","light","Taclight - Hipfire","SOURCE_CORROBORATED",0,55,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"basic","barrel","Basic","INTERNAL_PLACEHOLDER",0,54,"ak205|ak4d|b36a4",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"flash_hider","muzzle","Flash Hider","SOURCE_CORROBORATED",0,54,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"std_supp","muzzle","Standard Suppressor","SOURCE_CORROBORATED",0,53,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"hollow_pt","ammo","Hollow Point","SOURCE_CORROBORATED",0,52,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"light_supp","muzzle","Lightened Suppressor","SOURCE_CORROBORATED",0,51,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"alloy_vert","grip","Alloy Vertical","SOURCE_CORROBORATED",0,49,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"canted_stubby","grip","Canted Stubby","SOURCE_CORROBORATED",0,49,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"comp_brake","muzzle","Compensated Brake","SOURCE_CORROBORATED",0,49,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"fold_stubby","grip","Folding Stubby","SOURCE_CORROBORATED",0,49,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"ribbed_stubby","grip","Ribbed Stubby","SOURCE_CORROBORATED",0,49,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"ribbed_vert","grip","Ribbed Vertical","SOURCE_CORROBORATED",0,49,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"long_supp","muzzle","Long Suppressor","SOURCE_CORROBORATED",0,47,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"stipp_stubby","grip","Stippled Stubby","SOURCE_CORROBORATED",0,46,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"linear_comp","muzzle","Linear Comp","SOURCE_CORROBORATED",0,45,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"compensator","muzzle","Compensator","SOURCE_CORROBORATED",0,44,"ak4d|b36a4|brod3",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"flash_comp","muzzle","Flash Comp","SOURCE_CORROBORATED",0,40,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"full_angled","grip","Full Angled","SOURCE_CORROBORATED",0,37,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"slim_handstop","grip","Slim Handstop","SOURCE_CORROBORATED",0,37,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"slim_angled","grip","Slim Angled","SOURCE_CORROBORATED",0,35,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"classic_grip_pod","grip","Classic Grip Pod","SOURCE_CORROBORATED",0,32,"ak4d|b36a4|brod3",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"ptt_grip_pod","grip","PTT Grip Pod","SOURCE_CORROBORATED",0,32,"ak4d|b36a4|brod3",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"qd_grip_pod","grip","QD Grip Pod","SOURCE_CORROBORATED",0,32,"ak4d|b36a4|brod3",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"lightweight","ammo","Lightweight","UNVERIFIED",0,29,"ak205|ak4d|b36a4",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"short","barrel","Short","INTERNAL_PLACEHOLDER",0,29,"ak4d|b36a4|brod3",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"bipod","grip","Bipod","SOURCE_CORROBORATED",0,28,"ak4d|b36a4|drsiar",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"buffer","ergo","Aftermarket Buffer","SOURCE_CORROBORATED",0,28,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"match_trigger","ergo","Match Trigger","SOURCE_CORROBORATED",0,26,"ak205|ak4d|b36a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"adj_angled","grip","Adjustable Angled","SOURCE_CORROBORATED",0,23,"ak4d|b36a4|drsiar",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"36_rnd","mag","36 Rnd","UNVERIFIED",0,21,"ak205|b36a4|brod3",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"40_rnd","mag","40 Rnd","UNVERIFIED",0,18,"ak205|b36a4|brod3",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"synthetic","ammo","Synthetic","SOURCE_CORROBORATED",0,18,"ak205|b36a4|drsiar",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"40_fast","mag","40 Fast","UNVERIFIED",0,15,"ak205|b36a4|brod3",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"subsonic","ammo","Subsonic","SOURCE_CORROBORATED",0,15,"cz3a1|es57|ggh22",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"subsonic_hp","ammo","Sub HP","UNVERIFIED",0,15,"cz3a1|es57|ggh22",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"cmpct_handstop","grip","Compact Handstop","SOURCE_CORROBORATED",0,11,"cz3a1|grtbc|kv9",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"rail_cover","ergo","Rail Cover","SOURCE_CORROBORATED",0,11,"brod3|drsiar|kts100",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"combo_green","laser","Combo Green","SOURCE_CORROBORATED",0,10,"es57|ggh22|grtbc",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"range_finder","light","Range Finder","SOURCE_CORROBORATED",0,10,"grtcps|l115|lmr27",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"45_fast","mag","45 Fast","UNVERIFIED",0,9,"ak205|b36a4|drsiar",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"45_rnd","mag","45 Rnd","UNVERIFIED",0,9,"ak205|b36a4|drsiar",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"combo_red","laser","Combo Red","SOURCE_CORROBORATED",0,9,"es57|ggh22|grtbc",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"underslung_mount","grip","Underslung Mount","SOURCE_CORROBORATED",0,9,"ak205|b36a4|l85a3",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"slim_angled_smg","grip","Slim Angled","SOURCE_CORROBORATED",0,8,"cz3a1|kv9|pp19",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"25_rnd","mag","25 Rnd","UNVERIFIED",0,6,"m277|m39emr|m417a2",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"burst_training","ergo","Burst Training","SOURCE_CORROBORATED",0,6,"cz3a1|kord6p67|kv9",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"60_rnd","mag","60 Rnd","UNVERIFIED",0,5,"drsiar|kts100|rpk74m",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"7_rnd","mag","14 Rnd","UNVERIFIED",0,5,"db12|l115|m45a1",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"classic_grip_pod_sr","grip","Classic Grip Pod","SOURCE_CORROBORATED",0,5,"l115|m2010esr|miniscout",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"fast_deploy","ergo","Speed Holster","SOURCE_CORROBORATED",0,5,"ggh22|m357trait|m44",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"full_angled_sr","grip","Full Angled","SOURCE_CORROBORATED",0,5,"l115|m2010esr|miniscout",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"qd_grip_pod_sr","grip","QD Grip Pod","SOURCE_CORROBORATED",0,5,"l115|m2010esr|miniscout",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"slim_angled_sr","grip","Slim Angled","SOURCE_CORROBORATED",0,5,"l115|m2010esr|miniscout",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"buckshot_00","ammo","#00 BUCK","UNVERIFIED",0,4,"db12|ks18k|m1014",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"flechette","ammo","Flechette","SOURCE_CORROBORATED",0,4,"db12|ks18k|m1014",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"25_fast","mag","25 Fast","UNVERIFIED",0,3,"m277|tr7|umg40",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"6_rnd","mag","6 Rnd","UNVERIFIED",0,3,"m1014|m44|m87a1",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"8_rnd","mag","8 Rnd","UNVERIFIED",0,3,"ks18k|m2010esr|m357trait",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"200_rnd","mag","200 Rnd","UNVERIFIED",0,2,"l110|m123k",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"35_rnd","mag","35 Rnd","UNVERIFIED",0,2,"cz3a1|pp19",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"75_rnd","mag","75 Rnd","UNVERIFIED",0,2,"m240l|rpkm",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"8_fast","mag","8 Fast","UNVERIFIED",0,2,"ks18k|m357trait",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"none","ergo","None","INTERNAL_PLACEHOLDER",0,2,"brod3|ef88",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"none","grip","None","INTERNAL_PLACEHOLDER",0,2,"brod3|ef88",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"none","laser","None","INTERNAL_PLACEHOLDER",0,2,"brod3|ef88",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"none","light","None","INTERNAL_PLACEHOLDER",0,2,"brod3|ef88",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"none","muzzle","None","INTERNAL_PLACEHOLDER",0,2,"brod3|ef88",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"11_rnd","mag","11 Rnd","UNVERIFIED",0,1,"m45a1",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"21_rnd","mag","21 Rnd","UNVERIFIED",0,1,"p18",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"22_rnd","mag","22 Rnd","UNVERIFIED",0,1,"ggh22",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"27_rnd","mag","27 Rnd","UNVERIFIED",0,1,"kv9",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"35_fast","mag","35 Fast","UNVERIFIED",0,1,"cz3a1",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"41_rnd","mag","41 Rnd","UNVERIFIED",0,1,"sgx",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"42_fast","mag","42 Fast","UNVERIFIED",0,1,"ef88",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"42_rnd","mag","42 Rnd","UNVERIFIED",0,1,"ef88",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"53_rnd","mag","53 Rnd","UNVERIFIED",0,1,"pp19",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"60_fast","mag","60 Fast","UNVERIFIED",0,1,"kts100",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"6h64_vert_db12","grip","6H64 Vertical","SOURCE_CORROBORATED",0,1,"db12",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"6h64_vert_svk86","grip","6H64 Vertical","SOURCE_CORROBORATED",0,1,"svk86",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"7_fast","mag","7 Fast","UNVERIFIED",0,1,"l115",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"95_rnd","mag","95 Rnd","UNVERIFIED",0,1,"rpk74m",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"burst_mode","ergo","Burst Mode","SOURCE_CORROBORATED",0,1,"sl9",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"classic_vert_db12","grip","Classic Vertical","SOURCE_CORROBORATED",0,1,"db12",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"classic_vert_svk86","grip","Classic Vertical","SOURCE_CORROBORATED",0,1,"svk86",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"ext_light","barrel","Extended Light","INTERNAL_PLACEHOLDER",0,1,"ef88",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"factory_angled_db12","grip","Factory Angled","SOURCE_CORROBORATED",0,1,"db12",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"factory_angled_lmr27","grip","Factory Angled","SOURCE_CORROBORATED",0,1,"lmr27",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"factory_angled_sl9","grip","Factory Angled","SOURCE_CORROBORATED",0,1,"sl9",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"fast_deploy_10","ergo","Gunslinger","SOURCE_CORROBORATED",0,1,"m44",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"full_auto","ergo","A3 Receiver","SOURCE_CORROBORATED",0,1,"m16a4",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"grtbc_burst_mode","ergo","Burst Training","SOURCE_CORROBORATED",0,1,"grtbc",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"lp_stubby_db12","grip","Low-Profile Stubby","SOURCE_CORROBORATED",0,1,"db12",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"lp_stubby_svk86","grip","Low-Profile Stubby","SOURCE_CORROBORATED",0,1,"svk86",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"range_pen","ammo","Range Pen","UNVERIFIED",0,1,"vssm",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"short_light","barrel","Short Light","INTERNAL_PLACEHOLDER",0,1,"ef88",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"stipp_stubby_db12","grip","Stippled Stubby","SOURCE_CORROBORATED",0,1,"db12",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"stipp_stubby_ks18k","grip","Stippled Stubby","SOURCE_CORROBORATED",0,1,"ks18k",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"stipp_stubby_svk86","grip","Stippled Stubby","SOURCE_CORROBORATED",0,1,"svk86",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"subsonic_pen","ammo","Sub Pen","UNVERIFIED",0,1,"pw7a2",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"vssm_suppressed","barrel","Suppressed","INTERNAL_PLACEHOLDER",0,1,"vssm",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"6h64_vert_vssm","grip","6H64 Vertical","SOURCE_CORROBORATED",0,0,"",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"classic_vert_vssm","grip","Classic Vertical","SOURCE_CORROBORATED",0,0,"",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"lp_stubby_vssm","grip","Low-Profile Stubby","SOURCE_CORROBORATED",0,0,"",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"none","barrel","None","INTERNAL_PLACEHOLDER",0,0,"",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"stipp_stubby_vssm","grip","Stippled Stubby","SOURCE_CORROBORATED",0,0,"",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"therm_hyb","sight","Thermal Hybrid","INTERNAL_PLACEHOLDER",0,0,"",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
